# sorteny_fq_calibration_tsv_v1
# model	mse=c0+c1/(mod_a*lambda+mod_b)^2
# sweep	<repo>/output/checkpoints/20260613_lambda005_recalibration_audit/sweeps/canonical/sweep_results.json
# weights	<repo>/weights/encoder
# max_lambda	0.05
# q_min	64
# q_max	255
# q_baseline	204
# mod_a	884.459481
# mod_b	13.9541889
# mod_r2	1
block_y	block_x	c0	c1	r2	valid	q_baseline	q_min	q_max	max_lambda	mod_a	mod_b	mse_at_baseline
2	13	26.101945877632573	238281.68638334158	0.9980711057411441	1	204	64	255	0.05	884.4594814498472	13.954188939546285	124.01108121247205
2	14	32.74878780241286	249846.1958428653	0.9952960966272921	1	204	64	255	0.05	884.4594814498472	13.954188939546285	135.40974078190325
2	15	29.061750110518943	272773.2162015706	0.9983004468173108	1	204	64	255	0.05	884.4594814498472	13.954188939546285	141.14333785718895
2	16	34.63172192321076	316210.2900642595	0.9979969622652057	1	204	64	255	0.05	884.4594814498472	13.954188939546285	164.56145573566565
2	17	23.608224419343003	324153.8317805961	0.996516689404084	1	204	64	255	0.05	884.4594814498472	13.954188939546285	156.80193253358928
2	18	25.13284165771978	270386.0694135456	0.9923291170741999	1	204	64	255	0.05	884.4594814498472	13.954188939546285	136.23355889990268
2	19	14.951251620017786	271365.6713099104	0.997898023358334	1	204	64	255	0.05	884.4594814498472	13.954188939546285	126.45448395306313
2	20	8.181259668384456	267750.90952849895	0.9968357176982315	1	204	64	255	0.05	884.4594814498472	13.954188939546285	118.19919866717814
2	21	9.661148991097576	269443.49984701327	0.9971467811227761	1	204	64	255	0.05	884.4594814498472	13.954188939546285	120.37456760092293
2	22	9.206838187171996	273188.72275578347	0.9976765614947742	1	204	64	255	0.05	884.4594814498472	13.954188939546285	121.4591561652182
2	23	12.350265523154917	288751.71717407915	0.9958977693197053	1	204	64	255	0.05	884.4594814498472	13.954188939546285	130.99736502992036
2	24	12.64259723607637	287586.3712446065	0.9964577845287653	1	204	64	255	0.05	884.4594814498472	13.954188939546285	130.81086005987038
2	25	12.587112317419866	282898.55529143143	0.9946700834049573	1	204	64	255	0.05	884.4594814498472	13.954188939546285	128.82916749365742
2	26	9.08038890203423	300050.6870050761	0.9968263642714054	1	204	64	255	0.05	884.4594814498472	13.954188939546285	132.37019672230224
2	27	12.43003319787357	267916.63278199296	0.9978533669932099	1	204	64	255	0.05	884.4594814498472	13.954188939546285	122.51606731845673
2	28	15.012878960951753	281268.12331401074	0.9977408527121585	1	204	64	255	0.05	884.4594814498472	13.954188939546285	130.58499517732014
2	29	6.887777790348167	284952.27376741613	0.9976788121326317	1	204	64	255	0.05	884.4594814498472	13.954188939546285	123.97369891053141
2	30	-0.10008489720678426	300172.7583924222	0.9927178733692926	1	204	64	255	0.05	884.4594814498472	13.954188939546285	123.2398816413647
2	31	14.61889234802419	288550.01662678114	0.998818534542634	1	204	64	255	0.05	884.4594814498472	13.954188939546285	133.1831137852147
3	0	23.515794790355216	295203.2639370239	0.9965712177098544	1	204	64	255	0.05	884.4594814498472	13.954188939546285	144.8138129418544
3	1	35.032518622633376	313665.7953706129	0.9931901835438008	1	204	64	255	0.05	884.4594814498472	13.954188939546285	163.91672821079587
3	2	122.17925844401833	338946.409728042	0.9803256608025813	1	204	64	255	0.05	884.4594814498472	13.954188939546285	261.4511865767247
